# beta	CoR_abs	peak_flow_stress_GPa	peak_contact_force_N
# estimated rows fill segmented or unusable runs for plotting only
0.1	0.0610412	0.440375385	0.38155156
0.5	0.09613776	0.364920597	0.239603347
0.9	0.1175008	0.425462444	0.238414506
