# beta	CoR_abs	peak_flow_stress_GPa	peak_contact_force_N
# estimated rows fill segmented or unusable runs for plotting only
0.1	0.06063019	0.480880345	0.402567308
0.5	0.07979443	0.451910295	0.3271106
0.9	0.09254126	0.419761498	0.317038896
