# beta	CoR_abs	peak_flow_stress_GPa	peak_contact_force_N
# estimated rows fill segmented or unusable runs for plotting only
0.1	0.03815134	0.755278963	0.787208017
0.5	0.036930305	0.765368633	0.541682359
0.9	0.03570927	0.755816705	0.531632678
