# beta	CoR_abs	peak_flow_stress_GPa	peak_contact_force_N
# estimated rows fill segmented or unusable runs for plotting only
0.1	0.0818971	nan	0.143743343
0.5	0.1198265	0.325768039	0.136990583
0.9	0.1577559	0.34252159	0.130237823
