# beta	CoR_abs	peak_flow_stress_GPa	peak_contact_force_N
# estimated rows fill segmented or unusable runs for plotting only
0.1	0.04145865	0.697641527	0.663375819
0.5	0.03930358	0.706613078	0.493313152
0.9	0.0424342	0.702724383	0.509955418
